📺央视频道①,#genre#
CCTV1综合,http://112.27.235.94:8000/hls/1/index.m3u8$LR•IPV4•63『线路1』
CCTV1综合,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8$LR•IPV4•63『线路2』
CCTV1综合,https://cc06.tv12.xyz/1.m3u8$LR•IPV4•63『线路3』
CCTV1综合,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8$LR•IPV4•63『线路4』
CCTV1综合,http://183.222.242.31:8088/hls/1/index.m3u8$LR•IPV4•63『线路5』
CCTV1综合,http://1b6467f415.iok.la:9931/tsfile/live/1020_1.m3u8$LR•IPV4•63『线路6』
CCTV1综合,http://play.kankanlive.com/live/1661761962676984.m3u8$LR•IPV4•63『线路7』
CCTV1综合,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8$LR•IPV4•63『线路8』
CCTV1综合,https://www.freetv.top/migu/608807420.m3u8?migutoken=5b04cf0d91179ab2d3d71703f0a8bc3d32dd02f7d8fb55ee70e05c216b8a9d1a73d911fbde798459fb66d94934157c996f8306c0dd37917775f2ed73dcc22cf84b25ca500bff5c636ff48d6344$LR•IPV4•63『线路9』
CCTV1综合,https://smart.pendy.dpdns.org/Smart.php?id=cctv1$LR•IPV4•63『线路10』
CCTV1综合,http://yc.myds.me:35455/gaoma/cctv1.m3u8$LR•IPV4•63『线路11』
CCTV1综合,http://nas.suntao.online:35455/itv/6000000001000029752.m3u8?cdn=wasusyt$LR•IPV4•63『线路12』
CCTV1综合,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227262/index.m3u8$LR•IPV4•63『线路13』
CCTV1综合,http://183.94.1.118:8801/tsfile/live/0001_1.m3u8$LR•IPV4•63『线路14』
CCTV1综合,http://120.192.226.35:8009/hls/501/index.m3u8$LR•IPV4•63『线路15』
CCTV1综合,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?$LR•IPV4•63『线路16』
CCTV1综合,http://123.182.60.29:9002/hls/1/index.m3u8$LR•IPV4•63『线路17』
