小姐姐,#genre#
小姐姐01,https://jiejie.uk/xjj/get/video.php?_t=0
小姐姐02,http://www.kankanbb.top/video.php?_t=0
小姐姐03,https://www.tblist.cn/douyin/video.php?_t=0
小姐姐04,https://jiejie.uk/xjj/tiktok/video2.php
小姐姐05,https://xiao.nanna.ren/video.php
小姐姐06,https://jx.iqfk.top/api/sjsp.php
小姐姐07,https://api.7645.cn/video/index.php
小姐姐08,https://www.zhiyunge.cn/ks/ks.php
小姐姐09,http://v.tuerji.net/video.php
小姐姐10,https://xiaolufx.com/suiji/video.php
小姐姐11,http://ksxjj.txqq.pro/video.php
小姐姐12,http://xjj1.716888.xyz/fenlei/zj/nennen/nennen.php
小姐姐13,https://188sp.711888.xyz/188/video.php
小姐姐14,https://lzw.me/v/video.php
小姐姐15,https://www.dwymw.com/yule/xjj/video.php
小姐姐16,https://api.yujn.cn/api/zzxjj.php?type=video
小姐姐17,https://www.xiaoac.com/ac/xiaojiejie/video.php
小姐姐18,https://v1.21lhz.cn/API/Video/api.php
小姐姐19,https://api.cenguigui.cn/api/mp4/MP4_xiaojiejie.php
小姐姐20,http://api.yujn.cn/api/xjj.php
小姐姐21,https://api.yujn.cn/api/nvda.php
小姐姐22,https://api.yujn.cn/api/tongtong.php
小姐姐23,https://api.yujn.cn/api/duilian.php
小姐姐24,http://api.yujn.cn/api/zzxjj.php
小姐姐25,http://api.yujn.cn/api/zzxjj.php?type=video
黑丝,http://api.yujn.cn/api/heisis.php
黑丝,http://api.yujn.cn/api/heisis.php?type=video
白丝,http://api.yujn.cn/api/baisis.php
白丝,http://api.yujn.cn/api/baisis.php?type=video
穿搭,http://api.yujn.cn/api/chuanda.php
吊带,http://api.yujn.cn/api/diaodai.php
街拍,http://api.yujn.cn/api/jiepai.php
动漫,http://api.yujn.cn/api/dmsp.php
古风,http://api.yujn.cn/api/hanfu.php
海边,http://api.yujn.cn/api/haibian.php
聚合,http://api.yujn.cn/api/juhexjj.php
萝莉,http://api.yujn.cn/api/luoli.php
慢摇,http://api.yujn.cn/api/manyao.php
漫画芋,http://api.yujn.cn/api/manhuay.php
漫展,https://api.yujn.cn/api/manzhan.php
美腿,http://api.yujn.cn/api/yuzu.php
萌娃,http://api.yujn.cn/api/mengwa.php
梦梦,http://api.yujn.cn/api/ndym.php
女高,http://api.yujn.cn/api/nvgao.php
清纯,http://api.yujn.cn/api/qingchun.php
热舞,http://api.yujn.cn/api/rewu.php
蛇姐,http://api.yujn.cn/api/shejie.php
身材,http://api.yujn.cn/api/wmsc.php
甜妹,http://api.yujn.cn/api/tianmei.php
舞蹈,http://api.yujn.cn/api/shwd.php
玉足,http://api.yujn.cn/api/jpmt.php
COS,http://api.yujn.cn/api/COS.php
JK洛丽,http://api.yujn.cn/api/jksp.php
章若楠,http://api.yujn.cn/api/zrn.php
鞠婧祎,http://api.yujn.cn/api/jjy.php
抖音变装,http://api.yujn.cn/api/bianzhuang.php?
抖音潇潇,http://api.yujn.cn/api/xiaoxiao.php
快手变装,http://api.yujn.cn/api/ksbianzhuang.php
快手翻唱,http://api.yujn.cn/api/ks_fc.php
快手姐姐,http://api.yujn.cn/api/ksxjjsp.php
双倍快乐,http://api.yujn.cn/api/sbkl.php
Jinricp美女01,https://jinri.bot.nu/bu/2.19/20240219_140801-中韩双语.m3u8
Jinricp美女02,https://jinri.bot.nu/bu/2.19/20240219_140104-中韩双语字幕.m3u8
Jinricp美女03,https://jinri.bot.nu/bu/2.19/20240219_10小时超长直播BJ-VIP-中韩双语字幕.m3u8
Jinricp美女04,https://jinri.bot.nu/bu/2.19/20240219_181703.m3u8
Jinricp美女05,https://vip3.lbbf9.com/20240815/IahGqua5/index.m3u8
Jinricp美女06,https://vip3.lbbf9.com/20240930/bbKPXUs6/index.m3u8
Jinricp美女07,https://vip3.lbbf9.com/20240930/gdihb59R/index.m3u8
Jinricp美女08,https://vip3.lbbf9.com/20240930/Xod8esy2/index.m3u8
Jinricp美女09,https://vip3.lbbf9.com/20240930/ZxbE9E7s/index.m3u8


ali松视,#genre#
驚艷,http://15.204.105.50:25461/live/G2s9zK2n9m/ezvrFwxGfA/85.ts
潘朵拉完美,http://15.204.105.50:25461/live/G2s9zK2n9m/ezvrFwxGfA/86.ts
香蕉 http://15.204.105.50:25461/live/G2s9zK2n9m/ezvrFwxGfA/87.ts
松視1台,http://15.204.105.50:25461/live/G2s9zK2n9m/ezvrFwxGfA/88.ts
松視2台,http://15.204.105.50:25461/live/G2s9zK2n9m/ezvrFwxGfA/89.ts
松視3台,http://15.204.105.50:25461/live-G2s9zK2n9m/ezvrFwxGfA/90.ts


pigoo,http://163.181.88.172:80/live.jnjyapp.cn/live/b0838d0514fc1df2bfb6b05625df45f3.flv
极限,http://live.urren.net:80/live/3ad26902144167f12af816860fa6ae9c.flv
happy,http://live.urren.net:80/live/75dc48dc42e7340528b82ebcec86476f.flv
香蕉,http://live.urren.net:80/live/41bac46c2ac62d52651fb1d9fcbfbaba.flv
惊艳,http://live.urren.net:80/live/e346b7743aa678a7aad1a54e5db9764d.flv
潘朵拉,http://live.urren.net:80/live/468210913f31327a7b6721dc5c39023f.flv
彩虹电影,http://live.urren.net:80/live/f8c96d6f5125b8b67e261b69d93b5a96.flv
K频道,http://live.urren.net:80/live/76c67f1a97347776ed163896bef2bb81.flv
E频道,http://live.urren.net:80/live/1a82d179857ad7662843c6f05e00d500.flv
松视3,http://live.urren.net:80/live/633af8da43118ed9a93a0ddd3c3fd3b8.flv
松视1,http://live.urren.net:80/live/9b1e3f4bad63db35806661d74b680a9b.flv

femjoy,http://u2tp5zor.megatv.fun/iptv/GND3B9YB2KUEYX/6212/index.m3u8
femjoy,http://c4dd5336.edemist.com/iptv/V4ZUD45ZF6ATGU8AKVBGHN9Z/6212/index.m3u8
femjoy,http://rhsbjv7k.tvclub.xyz/iptv/HBHPK9FK755LG3/6212/index.m3u8
metart,http://c4dd5336.edemist.com/iptv/V4ZUD45ZF6ATGU8AKVBGHN9Z/12160/index.m3u8
hюaрт,http://c4dd5336.edemist.com/iptv/V4ZUD45ZF6ATGU8AKVBGHN9Z/31716/index.m3u8
miami1,http://59ec5453559f0.streamlock.net:1935/Sunbeachtv/smil:WEB/chuklist.m3u8
miami2,https://59ec5453559f0.streamlock.net/mexicotv/smil:miamitvmexico/playlist.m3u8
miami3,https://59ec5453559f0.streamlock.net/miamitv/smil:WEB/chunklist_w131582150_b1896000.m3u8
miami4,https://59ec5453559f0.streamlock.net/JennyLive/JennyLive/playlist.m3u8
EroLuxe Japanese,http://cdntv.online/high/ynemik5cl9/1694.mpeg
EroLuxe Fake Taxi,http://cdntv.online/high/ynemik5cl9/1714.mpeg
 Schoolgirl,http://cdntv.online/high/ynemik5cl9/1722.mpeg
 Asian,http://cdntv.online/high/ynemik5cl9/1723.mpeg
 Cosplay,http://cdntv.online/high/ynemik5cl9/1689.mpeg
4K UHD,http://cdntv.online/high/ynemik5cl9/1704.mpeg
EroLuxe VIP 4K 60FPS,http://cdntv.online/high/ynemik5cl9/1705.mpeg
DOR,http://162.19.243.184/701/index.m3u8?token=M4f082ab4c
PRI,http://162.19.243.184/704/index.m3u8?token=M4f082ab4c
Tee,http://162.19.243.184/706/index.m3u8?token=M4f082ab4c
EV,http://162.19.243.184/712/index.m3u8?token=M4f082ab4c
BANG,http://162.19.243.184/713/index.m3u8?token=M4f082ab4c
HUS,http://162.19.243.184/714/index.m3u8?token=M4f082ab4c
D,http://162.19.243.184/715/index.m3u8?token=M4f082ab4c
GON,http://162.19.243.184/716/index.m3u8?token=M4f082ab4c
femjoy,http://rhsbjv7k.tvclub.xyz/iptv/HBHPK9FK755LG3/6212/index.m3u8
Playboy P,http://rhsbjv7k.tvclub.xyz/iptv/HBHPK9FK755LG3/6242/index.m3u8
Кино 18+,http://rhsbjv7k.tvclub.xyz/iptv/HBHPK9FK755LG3/18075/index.m3u8
japanhdv,http://rhsbjv7k.tvclub.xyz/iptv/HBHPK9FK755LG3/6225/manifest.m3u8
Playboy Plus,http://rhsbjv7k.tvclub.xyz/iptv/HBHPK9FK755LG3/6242/manifest.m3u8
Playboy,http://rhsbjv7k.tvclub.xyz/iptv/HBHPK9FK755LG3/527/index.m3u8
Playboy Plus,http://rhsbjv7k.tvclub.xyz/iptv/HBHPK9FK755LG3/6242/index.m3u8


香蕉台T,http://127.0.0.1:10079/p/0/proxy/http://203.75.191.130:8159/VideoInput/play.ts
香蕉台T,http://127.0.0.1:10079/p/0/proxy/http://125.227.210.55:8159/VideoInput/play.ts
惊艳台T,http://127.0.0.1:10079/p/0/proxy/http://125.227.210.55:8156/VideoInput/play.ts
惊艳台T,http://127.0.0.1:10079/p/0/proxy/http://203.75.191.130:8156/VideoInput/play.ts
奥视1台T,http://127.0.0.1:10079/p/0/proxy/http://125.227.210.55:8201/VideoInput/play.ts
奥视1台T,http://127.0.0.1:10079/p/0/proxy/http://203.75.191.130:8201/VideoInput/play.ts
奥视2台T,http://127.0.0.1:10079/p/0/proxy/http://125.227.210.55:8203/VideoInput/play.ts
奥视2台T,http://127.0.0.1:10079/p/0/proxy/http://203.75.191.130:8203/VideoInput/play.ts
奥视3台T,http://127.0.0.1:10079/p/0/proxy/http://125.227.210.55:8205/VideoInput/play.ts
奥视3台T,http://127.0.0.1:10079/p/0/proxy/http://203.75.191.130:8205/VideoInput/play.ts


p3p松视,#genre#
香蕉台,p3p://167.114.175.6:55331/60626a760005067e6f5bbecb5816771e
松视1台,p3p://167.114.175.6:55331/5fe445280008a40682a0367c343436bb
松视2台,p3p://167.114.175.6:55331/60232b5f00007bc37850649979e379df
松视3台,p3p://167.114.175.6:55331/6109e9590001f40bfd9b661109395f3b
惊艳台,p3p://167.114.175.6:55331/60626a1b00010e3e6f5a5a4f018e5ebe
look,p3p://167.114.175.6:55331/606271190002a1266f75aaee0463186a
happy,p3p://167.114.175.6:55331/616b79be000a35b17ab2f7b84c325eeb
彩虹e,p3p://167.114.175.6:55331/6062716c0008efc86f76f0c44d55329f
彩虹k,p3p://167.114.175.6:55331/63fd56ec000b5f0d26d4fe1b07963493
彩虹电影,p3p://167.114.175.6:55331/6253066c00049259f74b05224cf375e6
彩虹频道,p3p://167.114.175.6:55331/63fd589300099ff426db7203798a21f9
极限电影,p3p://167.114.175.6:55331/6109e9bb0005fd87fd9ce5ea2c1f18d3

麻豆天美,p3p://167.114.175.6:55331/61bff85e00029535c4bd1c4f47fb5400
麻豆大番,p3p://167.114.175.6:55331/5fee099a000e4a8da8c7244c6ff632e3
麻豆导演,p3p://167.114.175.6:55331/5fee723900074e31aa5fcfa0561f1b95
麻豆外番,p3p://167.114.175.6:55331/5fee86ee0006ce80aab0b2811d842258
麻豆台湾,p3p://167.114.175.6:55331/5fef5ed40002a464adfc0be76180670f
果冻传媒,p3p://167.114.175.6:55331/5ff5420900039286c4fb220f4b133915
精东影业,p3p://167.114.175.6:55331/6135966100022f18a83512374f864fd8
Psychoporn,p3p://167.114.175.6:55331/5ff399460003af78be7fe8571735593d
大猫先生,p3p://167.114.175.6:55331/5fed7efe000093e8a6a9af6f691c7583
七天探花,p3p://167.114.175.6:55331/62ca5692000275f2c95644b27e04396b
91沈先生,p3p://167.114.175.6:55331/5fee5d4500060214aa0df631581d3164
鸭总探花,p3p://167.114.175.6:55331/5fee5d6300022e98aa0e6a660e9f6d9f
小宝寻花,p3p://167.114.175.6:55331/5fee940f000cad40aae3fce963f95891
午夜寻花,p3p://167.114.175.6:55331/5ff22f59000ea2d6b8fa255a1d4c635c
男爵探花,p3p://167.114.175.6:55331/62bf9f8c000c9a4c9f7bcb53499c786f
利哥探花1,p3p://167.114.175.6:55331/61b4e9970009588e998c4b9532e01f5f
利哥探花2,p3p://167.114.175.6:55331/64ebf4ae0000f1c2cae8c73738a337d4
香港三级,p3p://167.114.175.6:55331/607e0dca0005cd6ddb506963435f6f5a
经典三级,p3p://167.114.175.6:55331/62dac52e00087a70098570f12b7962e5
大陆迷奸,p3p://167.114.175.6:55331/5ff395d60009ac7fbe727c5c77ee33a8
上原亚衣,p3p://167.114.175.6:55331/5fed670a00074c56a64c200b26e62c10
苍井空,p3p://167.114.175.6:55331/5fea6483000512cf9a8a401a24db1f4e
波多野结衣,p3p://167.114.175.6:55331/5fe6d96b000d95298cb35d8161902e91
古川伊织,p3p://167.114.175.6:55331/5ff7430900000f8fcccf091c30805ccb
加勒无码,p3p://167.114.175.6:55331/5fe6d4c0000ea3178ca121c83d4b0a39
东热无码,p3p://167.114.175.6:55331/5fe6d4f10006c6ec8ca1df2d4bd07a2d
韩国规则,p3p://167.114.175.6:55331/5fe6d643000a32ae8ca7085f68304b38
天台素人,p3p://167.114.175.6:55331/5fea646c000b95d79a89e7ed2c483b7a
